S,E,I,C,H,A,R,D,cases
145000,0,0,0,0,0,0,0,0
145000,0,0,0,0,0,0,0,0
145000,0,0,0,0,0,0,0,0
144999,1,0,0,0,0,0,0,0
144996,3,1,0,0,0,0,0,2
144992,6,2,0,0,0,0,0,3
144986,10,4,0,0,0,0,0,5
144980,14,3,0,1,2,0,0,6
144975,19,2,0,1,1,2,0,5
144965,25,3,0,1,4,2,0,10
144956,30,4,0,1,5,4,0,9
144942,39,4,0,1,8,6,0,14
144920,57,6,0,1,9,7,0,22
144872,90,14,0,1,12,11,0,48
144833,112,18,0,1,18,18,0,39
144787,132,30,0,0,22,29,0,46
144742,142,38,0,1,34,43,0,45
144712,137,49,0,1,45,56,0,30
144690,123,54,0,2,51,80,0,22
144668,114,51,0,3,51,113,0,22
144632,116,51,1,2,60,138,0,36
144581,138,54,1,2,64,160,0,51
144498,178,60,1,3,70,190,0,83
144434,206,56,1,5,77,221,0,64
144317,274,63,1,4,91,250,0,117
144195,330,80,2,4,104,285,0,122
144067,377,104,1,7,115,328,1,128
143935,406,137,0,8,137,376,1,132
143805,434,153,0,9,161,437,1,130
143614,506,173,0,13,180,513,1,191
143457,555,188,1,15,178,605,1,157
143289,617,197,1,16,188,691,1,168
143092,669,208,3,19,221,787,1,197
142878,726,227,3,22,248,895,1,214
142610,803,245,4,24,300,1013,1,268
142374,878,270,4,25,299,1149,1,236
142102,941,318,4,32,313,1289,1,272
141868,976,344,3,30,331,1446,2,234
141630,992,368,3,38,363,1604,2,238
141359,1027,396,5,41,395,1775,2,271
141163,989,405,9,43,406,1983,2,196
140903,992,432,9,45,437,2179,3,260
140680,975,450,11,47,444,2390,3,223
140442,980,439,12,46,466,2611,4,238
140151,1057,464,15,45,441,2823,4,291
139922,1053,477,15,48,455,3026,4,229
139704,1016,479,16,63,478,3240,4,218
139414,1061,495,16,68,486,3455,5,290
139161,1045,486,19,70,522,3691,6,253
138922,1032,487,22,69,522,3939,7,239
138667,1059,470,22,63,519,4193,7,255
138425,1017,472,24,64,542,4449,7,242
138179,1054,441,25,69,535,4690,7,246
137919,1069,457,20,70,536,4921,8,260
137696,1025,471,20,78,542,5159,9,223
137408,1047,478,22,75,557,5401,12,288
137185,1031,462,24,81,566,5639,12,223
136938,1032,457,29,75,587,5870,12,247
136736,995,465,32,68,559,6130,15,202
136480,1014,440,30,69,558,6391,18,256
136206,1069,423,33,68,523,6660,18,274
135951,1054,433,31,68,536,6907,20,255
135693,1065,420,33,70,552,7147,20,258
135402,1115,429,33,64,546,7391,20,291
135014,1253,412,25,69,558,7644,25,388
134528,1459,441,25,69,581,7870,27,486
133857,1807,489,27,64,605,8124,27,671
132971,2244,601,27,64,668,8398,27,886
131839,2815,749,30,67,778,8694,28,1132
130338,3649,886,31,75,921,9072,28,1501
129091,3996,1079,33,85,1171,9517,28,1247
128181,3953,1265,37,91,1393,10052,28,910
127494,3658,1399,41,103,1590,10686,29,687
126987,3261,1494,38,117,1659,11414,30,507
126659,2862,1461,38,129,1633,12188,30,328
126445,2438,1398,36,136,1561,12953,33,214
126305,1979,1345,41,135,1461,13698,36,140
126225,1590,1266,42,148,1295,14397,37,80
126155,1283,1132,44,152,1174,15021,39,70
126077,1065,981,48,154,1055,15580,40,78
126001,878,853,50,148,916,16111,43,76
125904,750,769,47,140,811,16533,46,97
125769,704,656,47,138,688,16948,50,135
125637,659,571,51,137,608,17287,50,132
125480,666,500,44,134,526,17598,52,157
125284,689,464,46,122,494,17848,53,196
125045,761,401,44,118,434,18142,55,239
124759,871,393,42,119,427,18332,57,286
124397,1025,407,42,113,445,18514,57,362
124081,1099,402,37,110,472,18739,60,316
123813,1124,408,37,100,492,18963,63,268
123518,1133,428,35,102,525,19194,65,295
123269,1119,460,37,99,529,19420,67,249
122937,1160,479,41,98,556,19658,71,332
122672,1138,485,41,97,565,19928,74,265
122387,1162,504,39,95,550,20186,77,285
122159,1109,494,42,91,548,20479,78,228
121880,1114,502,40,87,538,20758,81,279
121601,1142,508,43,85,539,21001,81,279
121355,1128,483,40,81,579,21251,83,246
121127,1086,513,40,82,561,21508,83,228
120899,1059,487,38,92,544,21796,85,228
120639,1057,469,41,94,537,22076,87,260
120412,1037,464,40,96,537,22326,88,227
120175,1022,447,40,96,529,22601,90,237
119952,993,443,36,92,531,22859,94,223
119719,970,471,35,89,525,23095,96,233
119476,979,464,37,90,511,23346,97,243
119231,980,474,37,87,490,23603,98,245
118980,982,483,37,89,477,23853,99,251
118774,959,463,36,90,479,24095,104,206
118541,986,462,32,85,465,24323,106,233
118315,959,480,32,85,480,24543,106,226
118081,977,481,33,72,465,24781,110,234
117866,956,476,31,76,456,25026,113,215
117656,938,463,30,72,450,25277,114,210
117437,924,457,29,79,460,25499,115,219
117198,957,448,27,71,457,25725,117,239
116973,948,444,28,72,457,25960,118,225
116746,938,450,27,73,481,26165,120,227
116519,954,445,29,70,459,26403,121,227
116314,939,447,33,64,455,26626,122,205
116108,894,460,32,61,473,26849,123,206
115870,917,445,33,62,466,27083,124,238
115664,899,428,28,68,458,27327,128,206
115462,852,431,26,73,482,27545,129,202
115273,841,425,29,72,490,27741,129,189
115088,835,403,25,76,474,27966,133,185
114887,838,392,27,72,461,28189,134,201
114675,841,399,26,73,429,28420,137,212
114502,813,391,27,73,399,28656,139,173
114319,796,388,35,66,416,28839,141,183
114149,787,383,33,70,418,29017,143,170